sample_id	layout	trimmed	read1	read2	read1_reads	read2_reads	total_read_records
SNF2KO_01	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_01.fq.gz	.	500000	0	500000
SNF2KO_02	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_02.fq.gz	.	500000	0	500000
SNF2KO_03	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_03.fq.gz	.	500000	0	500000
SNF2KO_04	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_04.fq.gz	.	500000	0	500000
SNF2KO_05	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_05.fq.gz	.	500000	0	500000
SNF2KO_06	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_06.fq.gz	.	500000	0	500000
SNF2KO_07	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_07.fq.gz	.	500000	0	500000
SNF2KO_08	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_08.fq.gz	.	500000	0	500000
SNF2KO_09	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_09.fq.gz	.	500000	0	500000
SNF2KO_10	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_10.fq.gz	.	500000	0	500000
SNF2KO_11	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_11.fq.gz	.	500000	0	500000
SNF2KO_12	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/SNF2KO_12.fq.gz	.	500000	0	500000
WT_01	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_01.fq.gz	.	500000	0	500000
WT_02	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_02.fq.gz	.	500000	0	500000
WT_03	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_03.fq.gz	.	500000	0	500000
WT_04	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_04.fq.gz	.	500000	0	500000
WT_05	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_05.fq.gz	.	500000	0	500000
WT_06	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_06.fq.gz	.	500000	0	500000
WT_07	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_07.fq.gz	.	500000	0	500000
WT_08	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_08.fq.gz	.	500000	0	500000
WT_09	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_09.fq.gz	.	500000	0	500000
WT_10	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_10.fq.gz	.	500000	0	500000
WT_11	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_11.fq.gz	.	500000	0	500000
WT_12	single-end	false	TAFFISH_RNASEQ_EXAMPLE_ROOT/test-data/yeast/data/03_results/yeast-snf2-fastq-mini-v1/reads/WT_12.fq.gz	.	500000	0	500000
