tool	version	source
rnaseq-report-flow	0.3.0-r2	taffish flow
flow-report-template	0.1.0	repos/apps/templates/flow-report
rnaseq-standard-flow	0.3.0-r1	standard:taffish flow
taf-rnaseq-index-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-expression-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-alignment-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-alignment-qc-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-count-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-de-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-enrichment-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-report-flow	0.3.0-r2	standard:taffish dependency
taf-rnaseq-denovo-assembly-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-denovo-expression-flow	0.2.0-r1	standard:taffish dependency
taf-rnaseq-denovo-annotation-flow	0.2.0-r1	standard:taffish dependency
rnaseq-de-flow	0.2.0-r1	de:taffish flow
taf-bioconductor-rnaseq	3.23-r1	de:taffish dependency
rnaseq-enrichment-flow	0.2.0-r1	enrichment:taffish flow
taf-enrichment-r	0.1.0-r1	enrichment:taffish dependency
rnaseq-denovo-assembly-flow	0.2.0-r1	denovo_assembly:taffish flow
taf-trinity	2.15.2-r2	denovo_assembly:taffish dependency
taf-spades	4.2.0-r1	denovo_assembly:taffish dependency
taf-fastqc	0.12.1-r1	denovo_assembly:taffish dependency
taf-fastp	1.3.3-r3	denovo_assembly:taffish dependency
taf-seqkit	2.13.0-r2	denovo_assembly:taffish dependency
taf-busco	6.0.0-r2	denovo_assembly:taffish dependency
taf-multiqc	1.35-r2	denovo_assembly:taffish dependency
rnaseq-denovo-expression-flow	0.2.0-r1	denovo_expression:taffish flow
taf-fastqc	0.12.1-r1	denovo_expression:taffish dependency
taf-fastp	1.3.3-r3	denovo_expression:taffish dependency
taf-multiqc	1.35-r2	denovo_expression:taffish dependency
taf-salmon	1.11.4-r1	denovo_expression:taffish dependency
taf-seqkit	2.13.0-r2	denovo_expression:taffish dependency
rnaseq-denovo-annotation-flow	0.2.0-r1	denovo_annotation:taffish flow
taf-diamond	2.2.1-r1	denovo_annotation:taffish dependency
taf-seqkit	2.13.0-r2	denovo_annotation:taffish dependency
taf-transdecoder	6.0.0-r1	denovo_annotation:taffish dependency
