sample_id	total_records	unique_mapq_ge_cut	mapped_reads	mapped_pct	assigned_tags	qualimap_reads_aligned	condition	strandedness
SNF2KO_01	557797	mapq_cut	543970	97.52	480664	486,173	.	.
SNF2KO_02	594380	mapq_cut	577772	97.21	478315	483,392	.	.
SNF2KO_03	555987	mapq_cut	539684	97.07	480968	483,697	.	.
SNF2KO_04	631104	mapq_cut	622238	98.60	484317	491,134	.	.
SNF2KO_05	565903	mapq_cut	548731	96.97	477431	482,828	.	.
SNF2KO_06	559767	mapq_cut	542261	96.87	478137	482,494	.	.
SNF2KO_07	560921	mapq_cut	542795	96.77	476173	481,874	.	.
SNF2KO_08	579664	mapq_cut	560903	96.76	476499	481,239	.	.
SNF2KO_09	560351	mapq_cut	544174	97.11	480495	483,823	.	.
SNF2KO_10	558763	mapq_cut	542591	97.11	482236	483,828	.	.
SNF2KO_11	559476	mapq_cut	539804	96.48	475637	480,328	.	.
SNF2KO_12	555036	mapq_cut	539913	97.28	479497	484,877	.	.
WT_01	579070	mapq_cut	560958	96.87	477752	481,888	.	.
WT_02	584415	mapq_cut	569328	97.42	480795	484,913	.	.
WT_03	580298	mapq_cut	559977	96.50	477225	479,679	.	.
WT_04	578664	mapq_cut	564465	97.55	480149	485,801	.	.
WT_05	582829	mapq_cut	567324	97.34	478205	484,495	.	.
WT_06	572391	mapq_cut	559848	97.81	482731	487,457	.	.
WT_07	578018	mapq_cut	563007	97.40	480465	484,989	.	.
WT_08	583945	mapq_cut	568556	97.36	481217	484,611	.	.
WT_09	580427	mapq_cut	566649	97.63	485092	486,222	.	.
WT_10	612081	mapq_cut	594658	97.15	476538	482,577	.	.
WT_11	598967	mapq_cut	583828	97.47	481218	484,861	.	.
WT_12	581323	mapq_cut	563952	97.01	478270	482,629	.	.
